"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46"
"NfL_main","0.464***","0.745***","0.419***","0.486***","0.753***","0.405***","0.478***","0.760***","0.401***","0.491***","0.744***","0.399***","0.470***","0.743***","0.401***","0.463***","0.769***","0.403***","0.476***","0.746***","0.404***","0.477***","0.741***","0.416***","0.471***","0.749***","0.418***","0.470***","0.762***","0.411***","0.474***","0.772***","0.426***","0.473***","0.749***","0.426***","0.475***","0.748***","0.413***","0.473***","0.745***","0.432***","0.497***","0.751***","0.417***"
"NfL_interaction","-0.0917","-0.0851","-0.0543","0.130","0.0643","-0.0321","-0.0417","-0.0887","0.0646","0.0763","-0.0588","-0.0827","-0.147","-0.0830","-0.0779","-0.0369","0.156","-0.0942*","0.00906","-0.0341","-0.0380","-0.163","-0.183","0.0188","-0.0752","-0.132","0.0160","0.000974","0.0980","-0.104*","0.00166","0.111","0.000256","-0.121","-0.136","0.0125","-0.0457","0.0124","0.00526","-0.138","-0.0777","0.0738","0.170","0.0236","0.0249"
"GFAP_main","-0.0735","0.975***","0.00968","-0.0586","1.021***","-0.0233","-0.0541","1.040***","-0.0145","-0.0293","1.017***","0.00605","-0.0474","1.022***","-0.0111","-0.0718","1.039***","-0.0260","-0.0498","0.975***","-0.00389","-0.0673","1.039***","-0.0171","-0.0517","0.979***","-0.00123","-0.0534","0.988***","-0.0155","-0.0484","0.988***","-0.00274","-0.0518","0.983***","-0.0108","-0.0564","0.984***","-0.00486","-0.0490","0.982***","-0.00957","-0.0566","0.976***","-0.00864"
"GFAP_interaction","-0.159","-0.0862","-0.0124","-0.0407","0.209*","-0.0467","-0.160","-0.295**","0.0354","0.0848","0.144","0.0311","0.0788","0.195*","-0.0789","-0.0938","0.259**","-0.0683","0.165","-0.0176","0.0261","0.0441","-0.476***","0.0406","-0.129","-0.186","0.0372","-0.108","0.0794","-0.0464","0.0773","0.0519","0.000178","0.0121","-0.215*","0.0107","0.0353","-0.0877","-0.0368","0.0486","-0.0822","-0.0177","-0.0781","-0.123","0.0163"
"metabolome(NfL)_main","-0.0238","-0.0506","-0.131***","0.0182","0.0104","0.120**","-0.124","-0.0297","0.0140","-0.0839","-0.00521","-0.0613","0.136","0.0992","-0.0917*","0.155","-0.0785","0.108**","0.0109","-0.0521","-0.134***","0.0308","0.0251","-0.0305","-0.0422","0.0238","-0.121**","0.0615","-0.0960","0.132***","0.0127","-0.103","-0.0569","-0.00973","0.0296","-0.0973**","0.104","0.00769","0.0991**","0.138","0.0896","-0.0644","-0.192*","-0.0572","0.0580"
"metabolome(GFAP)_main","0.00718","-0.0684","-0.157***","0.146","-0.0993","0.134***","-0.0718","0.142","0.0426","-0.0748","-0.175","-0.136***","-0.00371","-0.141","-0.103***","0.191*","-0.174","0.0895**","-0.0800","-0.0737","-0.180***","-0.115","0.252**","-0.0508","-0.0271","0.0509","-0.133***","0.128","-0.0853","0.0950**","-0.0150","-0.0610","-0.0482","-0.0951","0.103","-0.0907**","0.0596","0.0903","0.128***","0.0274","0.116","0.00211","-0.0316","0.0605","0.0679*"
