
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)",="(87)",="(88)",="(89)",="(90)"
="zLE8_TOTALSCOREinv",="-0.119*",="0.0327",="0.226***",="-0.123*",="0.00778",="0.193***",="-0.114*",="0.0149",="0.161***",="-0.147*",="-0.00595",="0.173***",="-0.148**",="-0.00669",="0.175***",="-0.132*",="-0.000332",="0.179***",="-0.144*",="-0.0195",="0.149***",="-0.137*",="0.00804",="0.177***",="-0.129*",="0.00923",="0.193***",="-0.138*",="-0.00817",="0.183***",="-0.143*",="-0.00982",="0.159***",="-0.139*",="0.00121",="0.182***",="-0.151**",="-0.00639",="0.168***",="-0.141*",="-0.00230",="0.172***",="-0.137*",="-0.000379",="0.163***",="-0.134*",="0.0399",="0.217***",="-0.132*",="0.00641",="0.188***",="-0.130*",="0.00896",="0.152***",="-0.160**",="-0.00668",="0.164***",="-0.162**",="-0.00793",="0.168***",="-0.142*",="-0.00378",="0.172***",="-0.159**",="-0.0200",="0.140***",="-0.148**",="0.00790",="0.170***",="-0.143*",="0.0111",="0.185***",="-0.148**",="-0.00889",="0.176***",="-0.154**",="-0.0110",="0.153***",="-0.154**",="-0.000366",="0.172***",="-0.164**",="-0.00668",="0.159***",="-0.154**",="0.000231",="0.165***",="-0.151**",="-0.00136",="0.155***"
="",="(0.0596)",="(0.0466)",="(0.0245)",="(0.0583)",="(0.0456)",="(0.0240)",="(0.0582)",="(0.0454)",="(0.0240)",="(0.0569)",="(0.0444)",="(0.0234)",="(0.0570)",="(0.0445)",="(0.0234)",="(0.0573)",="(0.0447)",="(0.0236)",="(0.0575)",="(0.0450)",="(0.0237)",="(0.0574)",="(0.0448)",="(0.0237)",="(0.0577)",="(0.0450)",="(0.0238)",="(0.0574)",="(0.0448)",="(0.0237)",="(0.0586)",="(0.0457)",="(0.0242)",="(0.0571)",="(0.0446)",="(0.0236)",="(0.0570)",="(0.0445)",="(0.0235)",="(0.0572)",="(0.0446)",="(0.0236)",="(0.0574)",="(0.0448)",="(0.0237)",="(0.0596)",="(0.0468)",="(0.0246)",="(0.0583)",="(0.0458)",="(0.0240)",="(0.0582)",="(0.0456)",="(0.0241)",="(0.0569)",="(0.0446)",="(0.0235)",="(0.0570)",="(0.0447)",="(0.0235)",="(0.0572)",="(0.0449)",="(0.0236)",="(0.0575)",="(0.0452)",="(0.0238)",="(0.0573)",="(0.0450)",="(0.0237)",="(0.0577)",="(0.0452)",="(0.0238)",="(0.0574)",="(0.0450)",="(0.0238)",="(0.0586)",="(0.0459)",="(0.0242)",="(0.0570)",="(0.0448)",="(0.0236)",="(0.0570)",="(0.0447)",="(0.0236)",="(0.0572)",="(0.0449)",="(0.0236)",="(0.0574)",="(0.0450)",="(0.0237)"

="SEX",="-0.737***",="-0.0472",="-0.449***",="-0.855***",="-0.140",="-0.585***",="-0.817***",="-0.124",="-0.493***",="-0.745***",="-0.0530",="-0.422***",="-0.772***",="-0.0990",="-0.491***",="-0.832***",="-0.113",="-0.535***",="-0.776***",="-0.0601",="-0.447***",="-0.800***",="-0.139",="-0.517***",="-0.780***",="-0.0984",="-0.525***",="-0.784***",="-0.0882",="-0.530***",="-0.770***",="-0.0901",="-0.500***",="-0.776***",="-0.0997",="-0.519***",="-0.765***",="-0.0936",="-0.505***",="-0.774***",="-0.0968",="-0.508***",="-0.764***",="-0.0918",="-0.513***",="-0.735***",="-0.167*",="-0.454***",="-0.862***",="-0.268**",="-0.591***",="-0.812***",="-0.241**",="-0.490***",="-0.743***",="-0.170",="-0.421***",="-0.767***",="-0.216**",="-0.492***",="-0.827***",="-0.230**",="-0.534***",="-0.769***",="-0.180*",="-0.445***",="-0.795***",="-0.269**",="-0.520***",="-0.778***",="-0.228**",="-0.526***",="-0.779***",="-0.211*",="-0.529***",="-0.765***",="-0.214*",="-0.502***",="-0.770***",="-0.218**",="-0.518***",="-0.760***",="-0.215**",="-0.502***",="-0.767***",="-0.221**",="-0.510***",="-0.758***",="-0.213*",="-0.514***"
="",="(0.112)",="(0.0844)",="(0.0465)",="(0.120)",="(0.0899)",="(0.0498)",="(0.111)",="(0.0838)",="(0.0464)",="(0.119)",="(0.0901)",="(0.0493)",="(0.110)",="(0.0829)",="(0.0459)",="(0.113)",="(0.0850)",="(0.0471)",="(0.112)",="(0.0848)",="(0.0467)",="(0.112)",="(0.0844)",="(0.0466)",="(0.110)",="(0.0828)",="(0.0459)",="(0.111)",="(0.0833)",="(0.0462)",="(0.110)",="(0.0829)",="(0.0459)",="(0.110)",="(0.0827)",="(0.0458)",="(0.110)",="(0.0827)",="(0.0458)",="(0.110)",="(0.0827)",="(0.0458)",="(0.110)",="(0.0827)",="(0.0457)",="(0.112)",="(0.0848)",="(0.0470)",="(0.121)",="(0.0908)",="(0.0501)",="(0.113)",="(0.0846)",="(0.0468)",="(0.120)",="(0.0909)",="(0.0498)",="(0.111)",="(0.0836)",="(0.0464)",="(0.114)",="(0.0858)",="(0.0474)",="(0.114)",="(0.0854)",="(0.0472)",="(0.113)",="(0.0854)",="(0.0470)",="(0.112)",="(0.0836)",="(0.0464)",="(0.112)",="(0.0840)",="(0.0466)",="(0.111)",="(0.0836)",="(0.0464)",="(0.111)",="(0.0834)",="(0.0463)",="(0.111)",="(0.0834)",="(0.0463)",="(0.111)",="(0.0834)",="(0.0463)",="(0.111)",="(0.0834)",="(0.0463)"

="AGE",="-0.0193",="0.0125",="-0.0850***",="-0.0183",="0.0145",="-0.0820***",="-0.0164",="0.0155",="-0.0823***",="-0.0179",="0.0143",="-0.0828***",="-0.0168",="0.0156",="-0.0843***",="-0.0171",="0.0145",="-0.0815***",="-0.0181",="0.0162",="-0.0784***",="-0.0175",="0.0153",="-0.0817***",="-0.0182",="0.0144",="-0.0822***",="-0.0179",="0.0147",="-0.0820***",="-0.0176",="0.0144",="-0.0821***",="-0.0183",="0.0140",="-0.0827***",="-0.0188",="0.0144",="-0.0834***",="-0.0176",="0.0148",="-0.0818***",="-0.0176",="0.0147",="-0.0817***",="-0.00278",="0.0128",="-0.0719***",="-0.00236",="0.0153",="-0.0690***",="0.0000497",="0.0168",="-0.0693***",="-0.00194",="0.0145",="-0.0695***",="-0.000945",="0.0153",="-0.0715***",="-0.000808",="0.0154",="-0.0683***",="-0.00181",="0.0172",="-0.0650***",="-0.00123",="0.0165",="-0.0684***",="-0.00209",="0.0152",="-0.0692***",="-0.00187",="0.0153",="-0.0688***",="-0.00152",="0.0152",="-0.0687***",="-0.00211",="0.0152",="-0.0692***",="-0.00284",="0.0149",="-0.0704***",="-0.00184",="0.0150",="-0.0685***",="-0.00173",="0.0152",="-0.0686***"
="",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0138)",="(0.0135)",="(0.00600)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0137)",="(0.0133)",="(0.00591)",="(0.0136)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00591)",="(0.0136)",="(0.0133)",="(0.00590)",="(0.0137)",="(0.0133)",="(0.00592)",="(0.0136)",="(0.0133)",="(0.00591)",="(0.0137)",="(0.0133)",="(0.00591)",="(0.0136)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00591)",="(0.0136)",="(0.0133)",="(0.00591)",="(0.0136)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00592)",="(0.0136)",="(0.0133)",="(0.00591)",="(0.0136)",="(0.0133)",="(0.00591)"

="NonWhite",="0.140",="-0.245",="-0.0848",="0.163",="-0.213",="-0.0454",="0.132",="-0.239",="-0.0175",="0.167",="-0.210",="-0.0404",="0.161",="-0.216",="-0.00286",="0.134",="-0.216",="-0.0497",="0.164",="-0.188",="0.0144",="0.169",="-0.211",="-0.0298",="0.141",="-0.228",="-0.0687",="0.156",="-0.203",="-0.0523",="0.159",="-0.195",="0.000370",="0.159",="-0.218",="-0.0516",="0.171",="-0.207",="-0.0277",="0.168",="-0.205",="-0.0309",="0.160",="-0.211",="-0.0234",="0.122",="-0.325",="-0.109",="0.141",="-0.279",="-0.0673",="0.112",="-0.305",="-0.0358",="0.149",="-0.271",="-0.0600",="0.144",="-0.273",="-0.0236",="0.115",="-0.286",="-0.0705",="0.150",="-0.239",="0.00347",="0.161",="-0.294",="-0.0470",="0.120",="-0.311",="-0.0913",="0.138",="-0.266",="-0.0711",="0.136",="-0.258",="-0.0266",="0.138",="-0.289",="-0.0732",="0.155",="-0.270",="-0.0488",="0.156",="-0.265",="-0.0541",="0.142",="-0.280",="-0.0437"
