"metabolome","transition","term","estimate","sig","p"
"metabolome PC12","Mortality","PM2.5_int",-0.00801,NA,">.05"
"metabolome PC13","PD","PM2.5_int",0.273,"**","<.01"
"metabolome PC13","Dementia","PM2.5_int",-0.0283,NA,">.05"
"metabolome PC13","Mortality","PM2.5_int",-0.0266,NA,">.05"
"metabolome PC14","PD","PM2.5_int",0.0744,NA,">.05"
"metabolome PC14","Dementia","PM2.5_int",0.051,NA,">.05"
"metabolome PC14","Mortality","PM2.5_int",-0.0172,NA,">.05"
"metabolome PC15","PD","PM2.5_int",-0.0363,NA,">.05"
"metabolome PC15","Dementia","PM2.5_int",-0.0297,NA,">.05"
"metabolome PC15","Mortality","PM2.5_int",0.0107,NA,">.05"
"metabolome PC1","PD","PM10_main",-0.0728,NA,">.05"
"metabolome PC1","Dementia","PM10_main",-0.0292,NA,">.05"
"metabolome PC1","Mortality","PM10_main",-0.0232,NA,">.05"
"metabolome PC2","PD","PM10_main",-0.0672,NA,">.05"
"metabolome PC2","Dementia","PM10_main",-0.0232,NA,">.05"
"metabolome PC2","Mortality","PM10_main",0.00498,NA,">.05"
"metabolome PC3","PD","PM10_main",-0.0623,NA,">.05"
"metabolome PC3","Dementia","PM10_main",-0.0214,NA,">.05"
"metabolome PC3","Mortality","PM10_main",-0.0113,NA,">.05"
"metabolome PC4","PD","PM10_main",-0.0745,NA,">.05"
"metabolome PC4","Dementia","PM10_main",-0.0226,NA,">.05"
"metabolome PC4","Mortality","PM10_main",0.00956,NA,">.05"
"metabolome PC5","PD","PM10_main",-0.0669,NA,">.05"
"metabolome PC5","Dementia","PM10_main",-0.0265,NA,">.05"
"metabolome PC5","Mortality","PM10_main",-0.0286,NA,">.05"
"metabolome PC6","PD","PM10_main",-0.0592,NA,">.05"
"metabolome PC6","Dementia","PM10_main",-0.0285,NA,">.05"
"metabolome PC6","Mortality","PM10_main",-0.0219,NA,">.05"
"metabolome PC7","PD","PM10_main",-0.0598,NA,">.05"
"metabolome PC7","Dementia","PM10_main",-0.0253,NA,">.05"
"metabolome PC7","Mortality","PM10_main",-0.012,NA,">.05"
"metabolome PC8","PD","PM10_main",-0.064,NA,">.05"
"metabolome PC8","Dementia","PM10_main",-0.0158,NA,">.05"
"metabolome PC8","Mortality","PM10_main",-0.0139,NA,">.05"
"metabolome PC9","PD","PM10_main",-0.0596,NA,">.05"
"metabolome PC9","Dementia","PM10_main",-0.0188,NA,">.05"
"metabolome PC9","Mortality","PM10_main",-0.0167,NA,">.05"
"metabolome PC10","PD","PM10_main",-0.0607,NA,">.05"
"metabolome PC10","Dementia","PM10_main",-0.0255,NA,">.05"
"metabolome PC10","Mortality","PM10_main",-0.0147,NA,">.05"
"metabolome PC11","PD","PM10_main",-0.0638,NA,">.05"
"metabolome PC11","Dementia","PM10_main",-0.0271,NA,">.05"
"metabolome PC11","Mortality","PM10_main",-0.00597,NA,">.05"
"metabolome PC12","PD","PM10_main",-0.0678,NA,">.05"
"metabolome PC12","Dementia","PM10_main",-0.0121,NA,">.05"
"metabolome PC12","Mortality","PM10_main",-0.013,NA,">.05"
"metabolome PC13","PD","PM10_main",-0.0972,NA,">.05"
"metabolome PC13","Dementia","PM10_main",-0.0233,NA,">.05"
"metabolome PC13","Mortality","PM10_main",-0.00975,NA,">.05"
"metabolome PC14","PD","PM10_main",-0.058,NA,">.05"
"metabolome PC14","Dementia","PM10_main",-0.0226,NA,">.05"
"metabolome PC14","Mortality","PM10_main",-0.0116,NA,">.05"
"metabolome PC15","PD","PM10_main",-0.0687,NA,">.05"
"metabolome PC15","Dementia","PM10_main",-0.0223,NA,">.05"
"metabolome PC15","Mortality","PM10_main",-0.017,NA,">.05"
"metabolome PC1","PD","PM10_int",-0.0454,NA,">.05"
"metabolome PC1","Dementia","PM10_int",-0.00747,NA,">.05"
"metabolome PC1","Mortality","PM10_int",-0.0269,NA,">.05"
"metabolome PC2","PD","PM10_int",-0.0713,NA,">.05"
"metabolome PC2","Dementia","PM10_int",-0.0416,NA,">.05"
"metabolome PC2","Mortality","PM10_int",0.0938,"*","<.05"
"metabolome PC3","PD","PM10_int",0.081,NA,">.05"
"metabolome PC3","Dementia","PM10_int",0.00193,NA,">.05"
"metabolome PC3","Mortality","PM10_int",-0.00916,NA,">.05"
"metabolome PC4","PD","PM10_int",-0.0669,NA,">.05"
"metabolome PC4","Dementia","PM10_int",0.000454,NA,">.05"
"metabolome PC4","Mortality","PM10_int",0.0751,NA,">.05"
"metabolome PC5","PD","PM10_int",-0.0777,NA,">.05"
"metabolome PC5","Dementia","PM10_int",-0.0395,NA,">.05"
"metabolome PC5","Mortality","PM10_int",-0.045,NA,">.05"
"metabolome PC6","PD","PM10_int",-0.0244,NA,">.05"
"metabolome PC6","Dementia","PM10_int",-0.102,NA,">.05"
"metabolome PC6","Mortality","PM10_int",-0.0565,NA,">.05"
"metabolome PC7","PD","PM10_int",-0.0517,NA,">.05"
"metabolome PC7","Dementia","PM10_int",0.00794,NA,">.05"
"metabolome PC7","Mortality","PM10_int",0.0322,NA,">.05"
"metabolome PC8","PD","PM10_int",0.0276,NA,">.05"
"metabolome PC8","Dementia","PM10_int",0.111,NA,">.05"
"metabolome PC8","Mortality","PM10_int",-0.0166,NA,">.05"
"metabolome PC9","PD","PM10_int",0.0488,NA,">.05"
"metabolome PC9","Dementia","PM10_int",0.113,NA,">.05"
"metabolome PC9","Mortality","PM10_int",-0.0111,NA,">.05"
"metabolome PC10","PD","PM10_int",0.00415,NA,">.05"
"metabolome PC10","Dementia","PM10_int",-0.065,NA,">.05"
"metabolome PC10","Mortality","PM10_int",0.00374,NA,">.05"
"metabolome PC11","PD","PM10_int",-0.0702,NA,">.05"
"metabolome PC11","Dementia","PM10_int",-0.0426,NA,">.05"
"metabolome PC11","Mortality","PM10_int",0.0404,NA,">.05"
"metabolome PC12","PD","PM10_int",-0.0987,NA,">.05"
"metabolome PC12","Dementia","PM10_int",0.23,"**","<.01"
"metabolome PC12","Mortality","PM10_int",0.0583,NA,">.05"
"metabolome PC13","PD","PM10_int",0.302,"**","<.01"
"metabolome PC13","Dementia","PM10_int",0.0116,NA,">.05"
"metabolome PC13","Mortality","PM10_int",-0.0248,NA,">.05"
"metabolome PC14","PD","PM10_int",-0.0659,NA,">.05"
"metabolome PC14","Dementia","PM10_int",0.0269,NA,">.05"
"metabolome PC14","Mortality","PM10_int",0.0306,NA,">.05"
"metabolome PC15","PD","PM10_int",-0.0828,NA,">.05"
"metabolome PC15","Dementia","PM10_int",-0.0112,NA,">.05"
"metabolome PC15","Mortality","PM10_int",0.019,NA,">.05"
"metabolome PC1","PD","PM2.5_10_main",-0.00182,NA,">.05"
