"metabolome","transition","term","estimate","sig","p"
"metabolome PC12","PD","NO2_main",-0.0951,NA,">.05"
"metabolome PC12","Dementia","NO2_main",0.089,NA,">.05"
"metabolome PC12","Mortality","NO2_main",-0.000383,NA,">.05"
"metabolome PC13","PD","NO2_main",-0.116,NA,">.05"
"metabolome PC13","Dementia","NO2_main",0.0801,NA,">.05"
"metabolome PC13","Mortality","NO2_main",0.000713,NA,">.05"
"metabolome PC14","PD","NO2_main",-0.0887,NA,">.05"
"metabolome PC14","Dementia","NO2_main",0.0839,NA,">.05"
"metabolome PC14","Mortality","NO2_main",-0.00251,NA,">.05"
"metabolome PC15","PD","NO2_main",-0.0873,NA,">.05"
"metabolome PC15","Dementia","NO2_main",0.0828,NA,">.05"
"metabolome PC15","Mortality","NO2_main",-0.00141,NA,">.05"
"metabolome PC1","PD","NO2_int",0.00624,NA,">.05"
"metabolome PC1","Dementia","NO2_int",0.156,NA,">.05"
"metabolome PC1","Mortality","NO2_int",-0.0678,NA,">.05"
"metabolome PC2","PD","NO2_int",0.0593,NA,">.05"
"metabolome PC2","Dementia","NO2_int",0.00665,NA,">.05"
"metabolome PC2","Mortality","NO2_int",0.0108,NA,">.05"
"metabolome PC3","PD","NO2_int",-0.143,NA,">.05"
"metabolome PC3","Dementia","NO2_int",0.0222,NA,">.05"
"metabolome PC3","Mortality","NO2_int",-0.0356,NA,">.05"
"metabolome PC4","PD","NO2_int",0.125,NA,">.05"
"metabolome PC4","Dementia","NO2_int",-0.0175,NA,">.05"
"metabolome PC4","Mortality","NO2_int",-0.0688,NA,">.05"
"metabolome PC5","PD","NO2_int",0.229,"*","<.05"
"metabolome PC5","Dementia","NO2_int",0.0186,NA,">.05"
"metabolome PC5","Mortality","NO2_int",-0.0231,NA,">.05"
"metabolome PC6","PD","NO2_int",0.0886,NA,">.05"
"metabolome PC6","Dementia","NO2_int",0.0417,NA,">.05"
"metabolome PC6","Mortality","NO2_int",0.00927,NA,">.05"
"metabolome PC7","PD","NO2_int",0.0484,NA,">.05"
"metabolome PC7","Dementia","NO2_int",0.0372,NA,">.05"
"metabolome PC7","Mortality","NO2_int",-0.07,NA,">.05"
"metabolome PC8","PD","NO2_int",-0.0922,NA,">.05"
"metabolome PC8","Dementia","NO2_int",0.0364,NA,">.05"
"metabolome PC8","Mortality","NO2_int",0.0179,NA,">.05"
"metabolome PC9","PD","NO2_int",0.0189,NA,">.05"
"metabolome PC9","Dementia","NO2_int",0.0532,NA,">.05"
"metabolome PC9","Mortality","NO2_int",-0.01,NA,">.05"
"metabolome PC10","PD","NO2_int",0.255,"*","<.05"
"metabolome PC10","Dementia","NO2_int",0.0896,NA,">.05"
"metabolome PC10","Mortality","NO2_int",0.00901,NA,">.05"
"metabolome PC11","PD","NO2_int",-0.0229,NA,">.05"
"metabolome PC11","Dementia","NO2_int",0.0405,NA,">.05"
"metabolome PC11","Mortality","NO2_int",0.0186,NA,">.05"
"metabolome PC12","PD","NO2_int",-0.0839,NA,">.05"
"metabolome PC12","Dementia","NO2_int",0.139,NA,">.05"
"metabolome PC12","Mortality","NO2_int",-0.0794,NA,">.05"
"metabolome PC13","PD","NO2_int",0.171,NA,">.05"
"metabolome PC13","Dementia","NO2_int",0.0131,NA,">.05"
"metabolome PC13","Mortality","NO2_int",-0.0301,NA,">.05"
"metabolome PC14","PD","NO2_int",-0.0395,NA,">.05"
"metabolome PC14","Dementia","NO2_int",-0.00839,NA,">.05"
"metabolome PC14","Mortality","NO2_int",-0.0266,NA,">.05"
"metabolome PC15","PD","NO2_int",0.0662,NA,">.05"
"metabolome PC15","Dementia","NO2_int",0.0197,NA,">.05"
"metabolome PC15","Mortality","NO2_int",0.0181,NA,">.05"
"metabolome PC1","PD","NOX_main",-0.0499,NA,">.05"
"metabolome PC1","Dementia","NOX_main",0.0983,NA,">.05"
"metabolome PC1","Mortality","NOX_main",0.0455,NA,">.05"
"metabolome PC2","PD","NOX_main",-0.0429,NA,">.05"
"metabolome PC2","Dementia","NOX_main",0.0822,NA,">.05"
"metabolome PC2","Mortality","NOX_main",0.0589,NA,">.05"
"metabolome PC3","PD","NOX_main",-0.0408,NA,">.05"
"metabolome PC3","Dementia","NOX_main",0.0773,NA,">.05"
"metabolome PC3","Mortality","NOX_main",0.0604,NA,">.05"
"metabolome PC4","PD","NOX_main",-0.0274,NA,">.05"
"metabolome PC4","Dementia","NOX_main",0.0782,NA,">.05"
"metabolome PC4","Mortality","NOX_main",0.0443,NA,">.05"
"metabolome PC5","PD","NOX_main",-0.0278,NA,">.05"
"metabolome PC5","Dementia","NOX_main",0.076,NA,">.05"
"metabolome PC5","Mortality","NOX_main",0.0525,NA,">.05"
"metabolome PC6","PD","NOX_main",-0.0434,NA,">.05"
"metabolome PC6","Dementia","NOX_main",0.0825,NA,">.05"
"metabolome PC6","Mortality","NOX_main",0.0583,NA,">.05"
"metabolome PC7","PD","NOX_main",-0.0481,NA,">.05"
"metabolome PC7","Dementia","NOX_main",0.0778,NA,">.05"
"metabolome PC7","Mortality","NOX_main",0.0426,NA,">.05"
"metabolome PC8","PD","NOX_main",-0.0493,NA,">.05"
"metabolome PC8","Dementia","NOX_main",0.0953,NA,">.05"
"metabolome PC8","Mortality","NOX_main",0.0494,NA,">.05"
"metabolome PC9","PD","NOX_main",-0.0505,NA,">.05"
"metabolome PC9","Dementia","NOX_main",0.086,NA,">.05"
"metabolome PC9","Mortality","NOX_main",0.0443,NA,">.05"
"metabolome PC10","PD","NOX_main",-0.0482,NA,">.05"
"metabolome PC10","Dementia","NOX_main",0.0836,NA,">.05"
"metabolome PC10","Mortality","NOX_main",0.0514,NA,">.05"
"metabolome PC11","PD","NOX_main",-0.0459,NA,">.05"
"metabolome PC11","Dementia","NOX_main",0.0834,NA,">.05"
"metabolome PC11","Mortality","NOX_main",0.0596,NA,">.05"
"metabolome PC12","PD","NOX_main",-0.0488,NA,">.05"
"metabolome PC12","Dementia","NOX_main",0.0872,NA,">.05"
"metabolome PC12","Mortality","NOX_main",0.0497,NA,">.05"
"metabolome PC13","PD","NOX_main",-0.0729,NA,">.05"
"metabolome PC13","Dementia","NOX_main",0.093,NA,">.05"
"metabolome PC13","Mortality","NOX_main",0.0516,NA,">.05"
"metabolome PC14","PD","NOX_main",-0.0453,NA,">.05"
"metabolome PC14","Dementia","NOX_main",0.0824,NA,">.05"
"metabolome PC14","Mortality","NOX_main",0.0495,NA,">.05"
"metabolome PC15","PD","NOX_main",-0.0408,NA,">.05"
"metabolome PC15","Dementia","NOX_main",0.0825,NA,">.05"
"metabolome PC15","Mortality","NOX_main",0.0572,NA,">.05"
"metabolome PC1","PD","NOX_int",0.0133,NA,">.05"
"metabolome PC1","Dementia","NOX_int",0.153,NA,">.05"
"metabolome PC1","Mortality","NOX_int",0.0427,NA,">.05"
"metabolome PC2","PD","NOX_int",0.0303,NA,">.05"
"metabolome PC2","Dementia","NOX_int",-0.0494,NA,">.05"
"metabolome PC2","Mortality","NOX_int",0.0398,NA,">.05"
"metabolome PC3","PD","NOX_int",-0.133,NA,">.05"
"metabolome PC3","Dementia","NOX_int",0.0807,NA,">.05"
"metabolome PC3","Mortality","NOX_int",-0.0358,NA,">.05"
"metabolome PC4","PD","NOX_int",0.0998,NA,">.05"
"metabolome PC4","Dementia","NOX_int",-0.0302,NA,">.05"
"metabolome PC4","Mortality","NOX_int",-0.0222,NA,">.05"
"metabolome PC5","PD","NOX_int",0.225,"*","<.05"
"metabolome PC5","Dementia","NOX_int",-0.0707,NA,">.05"
"metabolome PC5","Mortality","NOX_int",0.0229,NA,">.05"
"metabolome PC6","PD","NOX_int",0.0147,NA,">.05"
"metabolome PC6","Dementia","NOX_int",-0.0325,NA,">.05"
"metabolome PC6","Mortality","NOX_int",0.0447,NA,">.05"
"metabolome PC7","PD","NOX_int",0.0503,NA,">.05"
"metabolome PC7","Dementia","NOX_int",-0.0453,NA,">.05"
"metabolome PC7","Mortality","NOX_int",-0.0065,NA,">.05"
"metabolome PC8","PD","NOX_int",0.0287,NA,">.05"
"metabolome PC8","Dementia","NOX_int",0.132,NA,">.05"
"metabolome PC8","Mortality","NOX_int",0.00232,NA,">.05"
"metabolome PC9","PD","NOX_int",0.000215,NA,">.05"
"metabolome PC9","Dementia","NOX_int",0.154,NA,">.05"
"metabolome PC9","Mortality","NOX_int",-0.0128,NA,">.05"
"metabolome PC10","PD","NOX_int",0.172,NA,">.05"
"metabolome PC10","Dementia","NOX_int",0.0252,NA,">.05"
"metabolome PC10","Mortality","NOX_int",0.0249,NA,">.05"
"metabolome PC11","PD","NOX_int",0.0293,NA,">.05"
"metabolome PC11","Dementia","NOX_int",0.00784,NA,">.05"
"metabolome PC11","Mortality","NOX_int",0.0514,NA,">.05"
"metabolome PC12","PD","NOX_int",-0.035,NA,">.05"
"metabolome PC12","Dementia","NOX_int",0.112,NA,">.05"
"metabolome PC12","Mortality","NOX_int",-0.0563,NA,">.05"
"metabolome PC13","PD","NOX_int",0.198,NA,">.05"
"metabolome PC13","Dementia","NOX_int",-0.101,NA,">.05"
"metabolome PC13","Mortality","NOX_int",-0.012,NA,">.05"
"metabolome PC14","PD","NOX_int",-0.0206,NA,">.05"
"metabolome PC14","Dementia","NOX_int",0.0959,NA,">.05"
"metabolome PC14","Mortality","NOX_int",-0.00158,NA,">.05"
"metabolome PC15","PD","NOX_int",0.113,NA,">.05"
"metabolome PC15","Dementia","NOX_int",0.0137,NA,">.05"
"metabolome PC15","Mortality","NOX_int",-0.0466,NA,">.05"
"metabolome PC1","PD","metabolome(PM2.5)_main",-0.0752,NA,">.05"
"metabolome PC1","Dementia","metabolome(PM2.5)_main",-0.192,"**","<.01"
"metabolome PC1","Mortality","metabolome(PM2.5)_main",-0.185,"***","<.001"
"metabolome PC2","PD","metabolome(PM2.5)_main",0.0741,NA,">.05"
"metabolome PC2","Dementia","metabolome(PM2.5)_main",0.0828,NA,">.05"
"metabolome PC2","Mortality","metabolome(PM2.5)_main",0.0734,"*","<.05"
"metabolome PC3","PD","metabolome(PM2.5)_main",-0.0733,NA,">.05"
"metabolome PC3","Dementia","metabolome(PM2.5)_main",-0.122,NA,">.05"
"metabolome PC3","Mortality","metabolome(PM2.5)_main",0.0846,"**","<.01"
"metabolome PC4","PD","metabolome(PM2.5)_main",-0.0786,NA,">.05"
"metabolome PC4","Dementia","metabolome(PM2.5)_main",-0.0682,NA,">.05"
"metabolome PC4","Mortality","metabolome(PM2.5)_main",-0.141,"***","<.001"
"metabolome PC5","PD","metabolome(PM2.5)_main",-0.0761,NA,">.05"
"metabolome PC5","Dementia","metabolome(PM2.5)_main",0.0415,NA,">.05"
"metabolome PC5","Mortality","metabolome(PM2.5)_main",-0.157,"***","<.001"
"metabolome PC6","PD","metabolome(PM2.5)_main",0.0773,NA,">.05"
"metabolome PC6","Dementia","metabolome(PM2.5)_main",0.084,NA,">.05"
"metabolome PC6","Mortality","metabolome(PM2.5)_main",0.0387,NA,">.05"
"metabolome PC7","PD","metabolome(PM2.5)_main",0.0174,NA,">.05"
"metabolome PC7","Dementia","metabolome(PM2.5)_main",-0.0658,NA,">.05"
"metabolome PC7","Mortality","metabolome(PM2.5)_main",-0.134,"***","<.001"
"metabolome PC8","PD","metabolome(PM2.5)_main",-0.122,NA,">.05"
"metabolome PC8","Dementia","metabolome(PM2.5)_main",-0.208,"**","<.01"
"metabolome PC8","Mortality","metabolome(PM2.5)_main",-0.0265,NA,">.05"
"metabolome PC9","PD","metabolome(PM2.5)_main",-0.0263,NA,">.05"
"metabolome PC9","Dementia","metabolome(PM2.5)_main",-0.146,"*","<.05"
"metabolome PC9","Mortality","metabolome(PM2.5)_main",-0.13,"***","<.001"
"metabolome PC10","PD","metabolome(PM2.5)_main",-0.0977,NA,">.05"
"metabolome PC10","Dementia","metabolome(PM2.5)_main",-0.0146,NA,">.05"
"metabolome PC10","Mortality","metabolome(PM2.5)_main",0.0643,"*","<.05"
"metabolome PC11","PD","metabolome(PM2.5)_main",-0.0224,NA,">.05"
"metabolome PC11","Dementia","metabolome(PM2.5)_main",0.0152,NA,">.05"
"metabolome PC11","Mortality","metabolome(PM2.5)_main",-0.0791,"*","<.05"
"metabolome PC12","PD","metabolome(PM2.5)_main",-0.065,NA,">.05"
"metabolome PC12","Dementia","metabolome(PM2.5)_main",-0.12,"*","<.05"
"metabolome PC12","Mortality","metabolome(PM2.5)_main",-0.0806,"*","<.05"
"metabolome PC13","PD","metabolome(PM2.5)_main",-0.0661,NA,">.05"
"metabolome PC13","Dementia","metabolome(PM2.5)_main",0.0431,NA,">.05"
"metabolome PC13","Mortality","metabolome(PM2.5)_main",0.123,"***","<.001"
"metabolome PC14","PD","metabolome(PM2.5)_main",0.0149,NA,">.05"
"metabolome PC14","Dementia","metabolome(PM2.5)_main",0.0188,NA,">.05"
"metabolome PC14","Mortality","metabolome(PM2.5)_main",0.00323,NA,">.05"
"metabolome PC15","PD","metabolome(PM2.5)_main",-0.0554,NA,">.05"
"metabolome PC15","Dementia","metabolome(PM2.5)_main",-0.0217,NA,">.05"
"metabolome PC15","Mortality","metabolome(PM2.5)_main",0.0713,"*","<.05"
"metabolome PC1","PD","metabolome(PM10)_main",-0.0597,NA,">.05"
"metabolome PC1","Dementia","metabolome(PM10)_main",-0.104,NA,">.05"
"metabolome PC1","Mortality","metabolome(PM10)_main",-0.15,"***","<.001"
"metabolome PC2","PD","metabolome(PM10)_main",0.158,"*","<.05"
"metabolome PC2","Dementia","metabolome(PM10)_main",0.0974,NA,">.05"
"metabolome PC2","Mortality","metabolome(PM10)_main",0.0597,NA,">.05"
"metabolome PC3","PD","metabolome(PM10)_main",-0.191,"*","<.05"
"metabolome PC3","Dementia","metabolome(PM10)_main",-0.0966,NA,">.05"
"metabolome PC3","Mortality","metabolome(PM10)_main",0.0653,"*","<.05"
"metabolome PC4","PD","metabolome(PM10)_main",0.00258,NA,">.05"
"metabolome PC4","Dementia","metabolome(PM10)_main",-0.0529,NA,">.05"
"metabolome PC4","Mortality","metabolome(PM10)_main",-0.157,"***","<.001"
"metabolome PC5","PD","metabolome(PM10)_main",0.0731,NA,">.05"
"metabolome PC5","Dementia","metabolome(PM10)_main",0.0573,NA,">.05"
"metabolome PC5","Mortality","metabolome(PM10)_main",-0.119,"***","<.001"
"metabolome PC6","PD","metabolome(PM10)_main",0.15,"*","<.05"
"metabolome PC6","Dementia","metabolome(PM10)_main",0.109,NA,">.05"
"metabolome PC6","Mortality","metabolome(PM10)_main",0.0822,"*","<.05"
"metabolome PC7","PD","metabolome(PM10)_main",0.0361,NA,">.05"
"metabolome PC7","Dementia","metabolome(PM10)_main",-0.0924,NA,">.05"
"metabolome PC7","Mortality","metabolome(PM10)_main",-0.183,"***","<.001"
"metabolome PC8","PD","metabolome(PM10)_main",-0.104,NA,">.05"
"metabolome PC8","Dementia","metabolome(PM10)_main",-0.188,"**","<.01"
"metabolome PC8","Mortality","metabolome(PM10)_main",-0.0225,NA,">.05"
"metabolome PC9","PD","metabolome(PM10)_main",-0.122,NA,">.05"
"metabolome PC9","Dementia","metabolome(PM10)_main",-0.141,"*","<.05"
"metabolome PC9","Mortality","metabolome(PM10)_main",-0.107,"**","<.01"
"metabolome PC10","PD","metabolome(PM10)_main",0.0676,NA,">.05"
"metabolome PC10","Dementia","metabolome(PM10)_main",0.0248,NA,">.05"
"metabolome PC10","Mortality","metabolome(PM10)_main",0.0685,"*","<.05"
"metabolome PC11","PD","metabolome(PM10)_main",0.0597,NA,">.05"
"metabolome PC11","Dementia","metabolome(PM10)_main",0.0196,NA,">.05"
"metabolome PC11","Mortality","metabolome(PM10)_main",-0.0695,"*","<.05"
"metabolome PC12","PD","metabolome(PM10)_main",-0.0383,NA,">.05"
"metabolome PC12","Dementia","metabolome(PM10)_main",-0.189,"***","<.001"
"metabolome PC12","Mortality","metabolome(PM10)_main",-0.116,"***","<.001"
"metabolome PC13","PD","metabolome(PM10)_main",-0.0796,NA,">.05"
"metabolome PC13","Dementia","metabolome(PM10)_main",0.0228,NA,">.05"
"metabolome PC13","Mortality","metabolome(PM10)_main",0.122,"***","<.001"
"metabolome PC14","PD","metabolome(PM10)_main",0.0863,NA,">.05"
"metabolome PC14","Dementia","metabolome(PM10)_main",0.0313,NA,">.05"
"metabolome PC14","Mortality","metabolome(PM10)_main",-0.023,NA,">.05"
"metabolome PC15","PD","metabolome(PM10)_main",-0.0314,NA,">.05"
"metabolome PC15","Dementia","metabolome(PM10)_main",-0.0305,NA,">.05"
"metabolome PC15","Mortality","metabolome(PM10)_main",0.0666,"*","<.05"
"metabolome PC1","PD","metabolome(PM2.5_10)_main",-0.0329,NA,">.05"
"metabolome PC1","Dementia","metabolome(PM2.5_10)_main",-0.11,NA,">.05"
"metabolome PC1","Mortality","metabolome(PM2.5_10)_main",-0.137,"***","<.001"
"metabolome PC2","PD","metabolome(PM2.5_10)_main",0.194,"*","<.05"
"metabolome PC2","Dementia","metabolome(PM2.5_10)_main",0.101,NA,">.05"
"metabolome PC2","Mortality","metabolome(PM2.5_10)_main",0.109,"**","<.01"
"metabolome PC3","PD","metabolome(PM2.5_10)_main",-0.207,"**","<.01"
"metabolome PC3","Dementia","metabolome(PM2.5_10)_main",-0.104,NA,">.05"
"metabolome PC3","Mortality","metabolome(PM2.5_10)_main",0.0815,"**","<.01"
"metabolome PC4","PD","metabolome(PM2.5_10)_main",0.0686,NA,">.05"
"metabolome PC4","Dementia","metabolome(PM2.5_10)_main",-0.0276,NA,">.05"
"metabolome PC4","Mortality","metabolome(PM2.5_10)_main",-0.14,"***","<.001"
"metabolome PC5","PD","metabolome(PM2.5_10)_main",0.142,NA,">.05"
"metabolome PC5","Dementia","metabolome(PM2.5_10)_main",0.042,NA,">.05"
"metabolome PC5","Mortality","metabolome(PM2.5_10)_main",-0.151,"***","<.001"
"metabolome PC6","PD","metabolome(PM2.5_10)_main",0.15,"*","<.05"
"metabolome PC6","Dementia","metabolome(PM2.5_10)_main",0.0944,NA,">.05"
"metabolome PC6","Mortality","metabolome(PM2.5_10)_main",0.0729,"*","<.05"
"metabolome PC7","PD","metabolome(PM2.5_10)_main",0.0638,NA,">.05"
"metabolome PC7","Dementia","metabolome(PM2.5_10)_main",-0.0437,NA,">.05"
"metabolome PC7","Mortality","metabolome(PM2.5_10)_main",-0.173,"***","<.001"
"metabolome PC8","PD","metabolome(PM2.5_10)_main",-0.0815,NA,">.05"
"metabolome PC8","Dementia","metabolome(PM2.5_10)_main",-0.181,"**","<.01"
"metabolome PC8","Mortality","metabolome(PM2.5_10)_main",-0.0567,NA,">.05"
"metabolome PC9","PD","metabolome(PM2.5_10)_main",-0.142,NA,">.05"
"metabolome PC9","Dementia","metabolome(PM2.5_10)_main",-0.0803,NA,">.05"
"metabolome PC9","Mortality","metabolome(PM2.5_10)_main",-0.102,"**","<.01"
"metabolome PC10","PD","metabolome(PM2.5_10)_main",0.111,NA,">.05"
"metabolome PC10","Dementia","metabolome(PM2.5_10)_main",0.0155,NA,">.05"
"metabolome PC10","Mortality","metabolome(PM2.5_10)_main",0.0652,"*","<.05"
"metabolome PC11","PD","metabolome(PM2.5_10)_main",0.0974,NA,">.05"
"metabolome PC11","Dementia","metabolome(PM2.5_10)_main",-0.0106,NA,">.05"
"metabolome PC11","Mortality","metabolome(PM2.5_10)_main",-0.0815,"**","<.01"
"metabolome PC12","PD","metabolome(PM2.5_10)_main",0.018,NA,">.05"
"metabolome PC12","Dementia","metabolome(PM2.5_10)_main",-0.112,"*","<.05"
"metabolome PC12","Mortality","metabolome(PM2.5_10)_main",-0.11,"***","<.001"
"metabolome PC13","PD","metabolome(PM2.5_10)_main",0.0304,NA,">.05"
"metabolome PC13","Dementia","metabolome(PM2.5_10)_main",0.0346,NA,">.05"
"metabolome PC13","Mortality","metabolome(PM2.5_10)_main",0.108,"***","<.001"
"metabolome PC14","PD","metabolome(PM2.5_10)_main",0.0385,NA,">.05"
"metabolome PC14","Dementia","metabolome(PM2.5_10)_main",0.00725,NA,">.05"
"metabolome PC14","Mortality","metabolome(PM2.5_10)_main",-0.034,NA,">.05"
"metabolome PC15","PD","metabolome(PM2.5_10)_main",-0.0563,NA,">.05"
"metabolome PC15","Dementia","metabolome(PM2.5_10)_main",0.00133,NA,">.05"
"metabolome PC15","Mortality","metabolome(PM2.5_10)_main",0.0463,NA,">.05"
"metabolome PC1","PD","metabolome(PM2.5[abs])_main",-0.0982,NA,">.05"
"metabolome PC1","Dementia","metabolome(PM2.5[abs])_main",-0.119,NA,">.05"
"metabolome PC1","Mortality","metabolome(PM2.5[abs])_main",-0.149,"***","<.001"
"metabolome PC2","PD","metabolome(PM2.5[abs])_main",0.132,NA,">.05"
"metabolome PC2","Dementia","metabolome(PM2.5[abs])_main",0.108,NA,">.05"
"metabolome PC2","Mortality","metabolome(PM2.5[abs])_main",0.119,"***","<.001"
"metabolome PC3","PD","metabolome(PM2.5[abs])_main",-0.18,"*","<.05"
"metabolome PC3","Dementia","metabolome(PM2.5[abs])_main",-0.127,"*","<.05"
"metabolome PC3","Mortality","metabolome(PM2.5[abs])_main",0.0606,NA,">.05"
"metabolome PC4","PD","metabolome(PM2.5[abs])_main",-0.0393,NA,">.05"
"metabolome PC4","Dementia","metabolome(PM2.5[abs])_main",-0.0303,NA,">.05"
"metabolome PC4","Mortality","metabolome(PM2.5[abs])_main",-0.0919,"**","<.01"
"metabolome PC5","PD","metabolome(PM2.5[abs])_main",-0.00355,NA,">.05"
"metabolome PC5","Dementia","metabolome(PM2.5[abs])_main",0.064,NA,">.05"
"metabolome PC5","Mortality","metabolome(PM2.5[abs])_main",-0.128,"***","<.001"
"metabolome PC6","PD","metabolome(PM2.5[abs])_main",0.125,NA,">.05"
"metabolome PC6","Dementia","metabolome(PM2.5[abs])_main",0.0871,NA,">.05"
"metabolome PC6","Mortality","metabolome(PM2.5[abs])_main",0.0608,NA,">.05"
"metabolome PC7","PD","metabolome(PM2.5[abs])_main",-0.0212,NA,">.05"
"metabolome PC7","Dementia","metabolome(PM2.5[abs])_main",-0.055,NA,">.05"
"metabolome PC7","Mortality","metabolome(PM2.5[abs])_main",-0.138,"***","<.001"
"metabolome PC8","PD","metabolome(PM2.5[abs])_main",-0.0694,NA,">.05"
"metabolome PC8","Dementia","metabolome(PM2.5[abs])_main",-0.157,"*","<.05"
"metabolome PC8","Mortality","metabolome(PM2.5[abs])_main",-0.0572,NA,">.05"
"metabolome PC9","PD","metabolome(PM2.5[abs])_main",-0.127,NA,">.05"
"metabolome PC9","Dementia","metabolome(PM2.5[abs])_main",-0.117,NA,">.05"
"metabolome PC9","Mortality","metabolome(PM2.5[abs])_main",-0.105,"**","<.01"
"metabolome PC10","PD","metabolome(PM2.5[abs])_main",0.0268,NA,">.05"
"metabolome PC10","Dementia","metabolome(PM2.5[abs])_main",-0.00613,NA,">.05"
"metabolome PC10","Mortality","metabolome(PM2.5[abs])_main",0.0666,"*","<.05"
"metabolome PC11","PD","metabolome(PM2.5[abs])_main",0.0972,NA,">.05"
"metabolome PC11","Dementia","metabolome(PM2.5[abs])_main",-0.000669,NA,">.05"
"metabolome PC11","Mortality","metabolome(PM2.5[abs])_main",-0.0405,NA,">.05"
"metabolome PC12","PD","metabolome(PM2.5[abs])_main",-0.0629,NA,">.05"
"metabolome PC12","Dementia","metabolome(PM2.5[abs])_main",-0.143,"*","<.05"
"metabolome PC12","Mortality","metabolome(PM2.5[abs])_main",-0.0736,"*","<.05"
"metabolome PC13","PD","metabolome(PM2.5[abs])_main",0.000963,NA,">.05"
"metabolome PC13","Dementia","metabolome(PM2.5[abs])_main",0.00155,NA,">.05"
"metabolome PC13","Mortality","metabolome(PM2.5[abs])_main",0.11,"***","<.001"
"metabolome PC14","PD","metabolome(PM2.5[abs])_main",0.117,NA,">.05"
"metabolome PC14","Dementia","metabolome(PM2.5[abs])_main",0.0435,NA,">.05"
"metabolome PC14","Mortality","metabolome(PM2.5[abs])_main",-0.00449,NA,">.05"
"metabolome PC15","PD","metabolome(PM2.5[abs])_main",-0.128,NA,">.05"
"metabolome PC15","Dementia","metabolome(PM2.5[abs])_main",-0.0456,NA,">.05"
"metabolome PC15","Mortality","metabolome(PM2.5[abs])_main",0.0594,NA,">.05"
"metabolome PC1","PD","metabolome(NO2)_main",-0.0848,NA,">.05"
"metabolome PC1","Dementia","metabolome(NO2)_main",-0.191,"**","<.01"
"metabolome PC1","Mortality","metabolome(NO2)_main",-0.127,"***","<.001"
"metabolome PC2","PD","metabolome(NO2)_main",0.0943,NA,">.05"
"metabolome PC2","Dementia","metabolome(NO2)_main",0.0741,NA,">.05"
"metabolome PC2","Mortality","metabolome(NO2)_main",0.103,"**","<.01"
"metabolome PC3","PD","metabolome(NO2)_main",-0.0823,NA,">.05"
"metabolome PC3","Dementia","metabolome(NO2)_main",-0.109,NA,">.05"
"metabolome PC3","Mortality","metabolome(NO2)_main",0.0799,"*","<.05"
"metabolome PC4","PD","metabolome(NO2)_main",-0.0912,NA,">.05"
"metabolome PC4","Dementia","metabolome(NO2)_main",-0.043,NA,">.05"
"metabolome PC4","Mortality","metabolome(NO2)_main",-0.0817,"*","<.05"
"metabolome PC5","PD","metabolome(NO2)_main",-0.0776,NA,">.05"
"metabolome PC5","Dementia","metabolome(NO2)_main",0.0281,NA,">.05"
"metabolome PC5","Mortality","metabolome(NO2)_main",-0.13,"***","<.001"
"metabolome PC6","PD","metabolome(NO2)_main",0.093,NA,">.05"
"metabolome PC6","Dementia","metabolome(NO2)_main",0.0355,NA,">.05"
"metabolome PC6","Mortality","metabolome(NO2)_main",0.0481,NA,">.05"
"metabolome PC7","PD","metabolome(NO2)_main",-0.0132,NA,">.05"
"metabolome PC7","Dementia","metabolome(NO2)_main",-0.107,NA,">.05"
"metabolome PC7","Mortality","metabolome(NO2)_main",-0.129,"***","<.001"
"metabolome PC8","PD","metabolome(NO2)_main",-0.0468,NA,">.05"
"metabolome PC8","Dementia","metabolome(NO2)_main",-0.152,"*","<.05"
"metabolome PC8","Mortality","metabolome(NO2)_main",-0.0405,NA,">.05"
"metabolome PC9","PD","metabolome(NO2)_main",-0.107,NA,">.05"
"metabolome PC9","Dementia","metabolome(NO2)_main",-0.114,NA,">.05"
"metabolome PC9","Mortality","metabolome(NO2)_main",-0.107,"**","<.01"
"metabolome PC10","PD","metabolome(NO2)_main",-0.0572,NA,">.05"
"metabolome PC10","Dementia","metabolome(NO2)_main",-0.0551,NA,">.05"
"metabolome PC10","Mortality","metabolome(NO2)_main",0.0656,"*","<.05"
"metabolome PC11","PD","metabolome(NO2)_main",0.035,NA,">.05"
"metabolome PC11","Dementia","metabolome(NO2)_main",-0.0245,NA,">.05"
"metabolome PC11","Mortality","metabolome(NO2)_main",-0.0585,NA,">.05"
"metabolome PC12","PD","metabolome(NO2)_main",-0.046,NA,">.05"
"metabolome PC12","Dementia","metabolome(NO2)_main",-0.147,"*","<.05"
"metabolome PC12","Mortality","metabolome(NO2)_main",-0.0408,NA,">.05"
"metabolome PC13","PD","metabolome(NO2)_main",-0.00718,NA,">.05"
"metabolome PC13","Dementia","metabolome(NO2)_main",0.0211,NA,">.05"
"metabolome PC13","Mortality","metabolome(NO2)_main",0.125,"***","<.001"
"metabolome PC14","PD","metabolome(NO2)_main",0.0714,NA,">.05"
"metabolome PC14","Dementia","metabolome(NO2)_main",0.0503,NA,">.05"
"metabolome PC14","Mortality","metabolome(NO2)_main",0.00757,NA,">.05"
"metabolome PC15","PD","metabolome(NO2)_main",-0.105,NA,">.05"
"metabolome PC15","Dementia","metabolome(NO2)_main",-0.047,NA,">.05"
"metabolome PC15","Mortality","metabolome(NO2)_main",0.0668,"*","<.05"
"metabolome PC1","PD","metabolome(NOX)_main",-0.0883,NA,">.05"
