
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)",="(87)",="(88)",="(89)",="(90)"
="zLE8_TOTALSCOREinv",="-0.120*",="0.0313",="0.224***",="-0.124*",="0.00707",="0.191***",="-0.115*",="0.0143",="0.158***",="-0.148**",="-0.00721",="0.171***",="-0.149**",="-0.00784",="0.173***",="-0.132*",="-0.00124",="0.178***",="-0.145*",="-0.0208",="0.148***",="-0.138*",="0.00701",="0.175***",="-0.130*",="0.00875",="0.192***",="-0.140*",="-0.00944",="0.181***",="-0.142*",="-0.0101",="0.157***",="-0.140*",="0.000135",="0.181***",="-0.153**",="-0.00741",="0.166***",="-0.142*",="-0.00376",="0.171***",="-0.138*",="-0.00138",="0.162***",="-0.136*",="0.0378",="0.215***",="-0.133*",="0.00508",="0.185***",="-0.131*",="0.00813",="0.149***",="-0.162**",="-0.00873",="0.163***",="-0.163**",="-0.00988",="0.165***",="-0.142*",="-0.00514",="0.171***",="-0.161**",="-0.0222",="0.139***",="-0.149**",="0.00647",="0.168***",="-0.143*",="0.0101",="0.184***",="-0.151**",="-0.0109",="0.174***",="-0.153**",="-0.0117",="0.150***",="-0.154**",="-0.00190",="0.171***",="-0.166**",="-0.00843",="0.157***",="-0.156**",="-0.00210",="0.163***",="-0.152**",="-0.00318",="0.153***"
="",="(0.0596)",="(0.0466)",="(0.0245)",="(0.0583)",="(0.0456)",="(0.0239)",="(0.0582)",="(0.0454)",="(0.0240)",="(0.0569)",="(0.0443)",="(0.0234)",="(0.0569)",="(0.0445)",="(0.0234)",="(0.0573)",="(0.0447)",="(0.0236)",="(0.0575)",="(0.0450)",="(0.0237)",="(0.0574)",="(0.0448)",="(0.0236)",="(0.0577)",="(0.0450)",="(0.0237)",="(0.0574)",="(0.0447)",="(0.0237)",="(0.0586)",="(0.0457)",="(0.0242)",="(0.0571)",="(0.0445)",="(0.0235)",="(0.0570)",="(0.0445)",="(0.0235)",="(0.0572)",="(0.0446)",="(0.0235)",="(0.0574)",="(0.0448)",="(0.0236)",="(0.0596)",="(0.0467)",="(0.0245)",="(0.0583)",="(0.0457)",="(0.0240)",="(0.0582)",="(0.0456)",="(0.0240)",="(0.0569)",="(0.0446)",="(0.0234)",="(0.0569)",="(0.0446)",="(0.0234)",="(0.0572)",="(0.0449)",="(0.0236)",="(0.0575)",="(0.0451)",="(0.0237)",="(0.0573)",="(0.0450)",="(0.0236)",="(0.0577)",="(0.0452)",="(0.0238)",="(0.0574)",="(0.0449)",="(0.0237)",="(0.0586)",="(0.0459)",="(0.0242)",="(0.0570)",="(0.0447)",="(0.0235)",="(0.0570)",="(0.0446)",="(0.0235)",="(0.0572)",="(0.0448)",="(0.0236)",="(0.0574)",="(0.0450)",="(0.0236)"

="SEX",="-0.736***",="-0.0459",="-0.449***",="-0.856***",="-0.140",="-0.583***",="-0.816***",="-0.124",="-0.491***",="-0.745***",="-0.0530",="-0.422***",="-0.771***",="-0.0981",="-0.491***",="-0.833***",="-0.113",="-0.534***",="-0.775***",="-0.0585",="-0.448***",="-0.800***",="-0.138",="-0.517***",="-0.779***",="-0.0975",="-0.525***",="-0.781***",="-0.0870",="-0.529***",="-0.771***",="-0.0895",="-0.499***",="-0.775***",="-0.0987",="-0.520***",="-0.764***",="-0.0926",="-0.504***",="-0.772***",="-0.0954",="-0.509***",="-0.763***",="-0.0905",="-0.513***",="-0.734***",="-0.166",="-0.453***",="-0.862***",="-0.268**",="-0.588***",="-0.812***",="-0.240**",="-0.488***",="-0.743***",="-0.169",="-0.420***",="-0.766***",="-0.215*",="-0.491***",="-0.828***",="-0.230**",="-0.533***",="-0.768***",="-0.178*",="-0.444***",="-0.795***",="-0.268**",="-0.519***",="-0.778***",="-0.227**",="-0.525***",="-0.777***",="-0.209*",="-0.528***",="-0.765***",="-0.213*",="-0.501***",="-0.770***",="-0.217**",="-0.518***",="-0.758***",="-0.214*",="-0.501***",="-0.765***",="-0.219**",="-0.509***",="-0.756***",="-0.212*",="-0.513***"
="",="(0.112)",="(0.0844)",="(0.0464)",="(0.120)",="(0.0899)",="(0.0497)",="(0.111)",="(0.0838)",="(0.0463)",="(0.119)",="(0.0902)",="(0.0493)",="(0.110)",="(0.0828)",="(0.0458)",="(0.113)",="(0.0850)",="(0.0470)",="(0.112)",="(0.0848)",="(0.0466)",="(0.112)",="(0.0844)",="(0.0465)",="(0.110)",="(0.0828)",="(0.0458)",="(0.111)",="(0.0833)",="(0.0461)",="(0.110)",="(0.0829)",="(0.0459)",="(0.110)",="(0.0827)",="(0.0457)",="(0.110)",="(0.0827)",="(0.0457)",="(0.110)",="(0.0827)",="(0.0457)",="(0.110)",="(0.0827)",="(0.0457)",="(0.112)",="(0.0848)",="(0.0469)",="(0.121)",="(0.0908)",="(0.0500)",="(0.113)",="(0.0847)",="(0.0468)",="(0.120)",="(0.0909)",="(0.0497)",="(0.111)",="(0.0836)",="(0.0463)",="(0.114)",="(0.0858)",="(0.0474)",="(0.114)",="(0.0854)",="(0.0472)",="(0.113)",="(0.0854)",="(0.0469)",="(0.112)",="(0.0836)",="(0.0463)",="(0.112)",="(0.0840)",="(0.0466)",="(0.111)",="(0.0836)",="(0.0464)",="(0.111)",="(0.0835)",="(0.0462)",="(0.111)",="(0.0834)",="(0.0462)",="(0.111)",="(0.0834)",="(0.0462)",="(0.111)",="(0.0834)",="(0.0462)"

="AGE",="-0.0193",="0.0125",="-0.0848***",="-0.0183",="0.0145",="-0.0819***",="-0.0164",="0.0156",="-0.0821***",="-0.0178",="0.0143",="-0.0827***",="-0.0168",="0.0157",="-0.0840***",="-0.0171",="0.0145",="-0.0814***",="-0.0180",="0.0162",="-0.0783***",="-0.0175",="0.0153",="-0.0816***",="-0.0182",="0.0145",="-0.0820***",="-0.0178",="0.0148",="-0.0819***",="-0.0176",="0.0144",="-0.0819***",="-0.0184",="0.0140",="-0.0825***",="-0.0188",="0.0145",="-0.0832***",="-0.0176",="0.0148",="-0.0817***",="-0.0177",="0.0147",="-0.0816***",="-0.00277",="0.0128",="-0.0716***",="-0.00234",="0.0153",="-0.0688***",="0.0000872",="0.0169",="-0.0691***",="-0.00190",="0.0145",="-0.0693***",="-0.000850",="0.0154",="-0.0712***",="-0.000795",="0.0155",="-0.0681***",="-0.00176",="0.0172",="-0.0648***",="-0.00121",="0.0165",="-0.0682***",="-0.00209",="0.0152",="-0.0690***",="-0.00183",="0.0154",="-0.0686***",="-0.00144",="0.0152",="-0.0685***",="-0.00215",="0.0152",="-0.0690***",="-0.00279",="0.0150",="-0.0702***",="-0.00180",="0.0150",="-0.0683***",="-0.00173",="0.0152",="-0.0683***"
="",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00599)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00598)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0138)",="(0.0135)",="(0.00597)",="(0.0137)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0136)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0137)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0137)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0136)",="(0.0133)",="(0.00590)",="(0.0136)",="(0.0133)",="(0.00589)",="(0.0136)",="(0.0133)",="(0.00589)"

="NonWhite",="0.142",="-0.243",="-0.0870",="0.164",="-0.212",="-0.0482",="0.133",="-0.238",="-0.0192",="0.169",="-0.209",="-0.0431",="0.162",="-0.215",="-0.00454",="0.135",="-0.216",="-0.0522",="0.166",="-0.187",="0.0111",="0.171",="-0.209",="-0.0328",="0.142",="-0.227",="-0.0717",="0.160",="-0.201",="-0.0546",="0.156",="-0.196",="-0.00119",="0.160",="-0.217",="-0.0551",="0.173",="-0.205",="-0.0302",="0.170",="-0.203",="-0.0337",="0.162",="-0.210",="-0.0265",="0.124",="-0.323",="-0.111",="0.143",="-0.278",="-0.0697",="0.113",="-0.304",="-0.0372",="0.151",="-0.269",="-0.0624",="0.145",="-0.272",="-0.0246",="0.116",="-0.285",="-0.0727",="0.153",="-0.237",="0.000666",="0.163",="-0.292",="-0.0500",="0.120",="-0.311",="-0.0942",="0.141",="-0.265",="-0.0730",="0.133",="-0.259",="-0.0281",="0.138",="-0.288",="-0.0766",="0.157",="-0.268",="-0.0513",="0.158",="-0.264",="-0.0565",="0.144",="-0.278",="-0.0464"
